Bin,Export (log),Export (mil. EUR),HICP (index),Import (log),Import (mil. EUR),Inflace YoY (p.b.),Nezaměstnanost (p.b.)
Pre-trend (-12 až -7),0.01 (0.01),229.34** (100.09),-0.30 (0.28),-0.02** (0.01),-7.63 (74.37),-0.24 (0.17),0.32 (0.20)
Měsíc události (t=0),0.15*** (0.02),-393.61 (254.82),0.28 (0.54),0.12*** (0.02),-17.34 (266.73),0.68 (0.65),-1.98*** (0.70)
1 až 6 měsíců po,0.06 (0.05),-1090.44*** (215.20),1.34*** (0.43),0.10** (0.05),-657.30*** (96.16),1.38*** (0.35),-1.08*** (0.23)
7 až 12 měsíců po,0.05*** (0.02),213.22 (188.71),1.51*** (0.30),0.06*** (0.01),181.32 (132.52),0.88*** (0.24),-0.89*** (0.23)
13 až 18 měsíců po,0.07*** (0.01),69.07 (166.08),1.80*** (0.28),0.10*** (0.01),758.18*** (134.73),-0.00 (0.37),-1.13*** (0.24)
Pre-Tail,-0.04* (0.02),-536.21*** (204.05),-0.10 (0.45),-0.02 (0.02),-408.71* (212.36),0.49 (0.55),-2.00*** (0.43)
Post-Tail,0.12*** (0.02),1431.44*** (316.55),6.00*** (0.93),0.15*** (0.02),2070.93*** (349.34),1.19* (0.71),-1.80*** (0.36)
N,240,240,240,240,240,228,240
R-squared,0.56,0.96,0.82,0.56,0.95,0.22,0.76
