outcome,bin,tau,beta,se,p,n,r2,ar2
exports_world_meur,binpre12_7,-10,711.147731946041,322.886077626516,0.0276319440450761,31,0.93773172591207,0.915088717152822
exports_world_meur,bint0,0,428.260587670051,382.313698426829,0.262636586882398,31,0.93773172591207,0.915088717152822
exports_world_meur,binpost1_6,3,571.426908011306,469.892212369028,0.223954135258618,31,0.93773172591207,0.915088717152822
exports_world_meur,binpost7_12,9,1135.68058951295,475.628738943002,0.0169520561664939,31,0.93773172591207,0.915088717152822
exports_world_meur,binpost13_18,15,655.553844933152,578.338055382474,0.256998782913973,31,0.93773172591207,0.915088717152822
hicp,binpre12_7,-10,1.53982561294204,1.21352047294592,0.20447982321282,31,0.838358260227141,0.779579445764283
hicp,bint0,0,1.26257459477845,1.2434039872629,0.30990669112046,31,0.838358260227141,0.779579445764283
hicp,binpost1_6,3,2.04124556320271,1.33782402308724,0.127060859668879,31,0.838358260227141,0.779579445764283
hicp,binpost7_12,9,-0.0549952406695619,1.91801681386681,0.977125413440786,31,0.838358260227141,0.779579445764283
hicp,binpost13_18,15,-1.1766132536134,2.51902377848898,0.640434796321561,31,0.838358260227141,0.779579445764283
hicp_yoy,binpre12_7,-10,1.13498403625136,0.85779960821557,0.185790738491623,31,0.770033470057976,0.686409277351786
hicp_yoy,bint0,0,0.760653278344504,0.617623998882452,0.218106067885124,31,0.770033470057976,0.686409277351786
hicp_yoy,binpost1_6,3,2.21962552304204,0.978756611886986,0.0233413197597222,31,0.770033470057976,0.686409277351786
hicp_yoy,binpost7_12,9,1.69356425464436,1.33286671714013,0.203864630322023,31,0.770033470057976,0.686409277351786
hicp_yoy,binpost13_18,15,-0.103690288389395,1.71662118250016,0.951834103762275,31,0.770033470057976,0.686409277351786
imports_world_meur,binpre12_7,-10,-92.5089488976411,276.379588997763,0.737838570833192,31,0.897012629738311,0.859562676915879
imports_world_meur,bint0,0,993.280935826706,352.608578552188,0.00484819867996406,31,0.897012629738311,0.859562676915879
imports_world_meur,binpost1_6,3,1456.5470257419,428.68523719853,0.000679530441845493,31,0.897012629738311,0.859562676915879
imports_world_meur,binpost7_12,9,1750.44983293639,525.917280511924,0.000873542528946475,31,0.897012629738311,0.859562676915879
imports_world_meur,binpost13_18,15,1913.16104772139,751.798099341047,0.0109346489227822,31,0.897012629738311,0.859562676915879
log_exp,binpre12_7,-10,-0.0225974618618626,0.026284398876175,0.389938405135462,31,0.536142459930462,0.367466990814266
log_exp,bint0,0,0.0579910783375413,0.026787345923618,0.0303977658567021,31,0.536142459930462,0.367466990814266
log_exp,binpost1_6,3,0.0641363621753836,0.0313608176626088,0.0408438877574699,31,0.536142459930462,0.367466990814266
log_exp,binpost7_12,9,0.0860551811737062,0.0377915542464378,0.022780202571629,31,0.536142459930462,0.367466990814266
log_exp,binpost13_18,15,0.0550065224473295,0.0453157687298373,0.224805206487203,31,0.536142459930462,0.367466990814266
log_imp,binpre12_7,-10,-0.0541367444712454,0.029260950654826,0.0642939195323804,31,0.494813973877193,0.311109964377991
log_imp,bint0,0,0.0754972827233086,0.0400420169696947,0.0593689006336623,31,0.494813973877193,0.311109964377991
log_imp,binpost1_6,3,0.0939356159437666,0.0402477434865461,0.0195991273516999,31,0.494813973877193,0.311109964377991
log_imp,binpost7_12,9,0.105144009035621,0.04440255730358,0.0178858931438039,31,0.494813973877193,0.311109964377991
log_imp,binpost13_18,15,0.133854910175416,0.0583018593528952,0.0216819222047044,31,0.494813973877193,0.311109964377991
unemp_rate,binpre12_7,-10,-0.0628957351296753,0.20029293699733,0.753506807885873,31,0.80334887094164,0.731839369465872
unemp_rate,bint0,0,0.728572256654963,0.148441138285741,9.19367363511334e-07,31,0.80334887094164,0.731839369465872
unemp_rate,binpost1_6,3,0.672577222583063,0.252665591806118,0.00776948526726376,31,0.80334887094164,0.731839369465872
unemp_rate,binpost7_12,9,0.640323382932423,0.295567924454443,0.0302793343097368,31,0.80334887094164,0.731839369465872
unemp_rate,binpost13_18,15,0.765399234348616,0.346583235742534,0.02721543391381,31,0.80334887094164,0.731839369465872
