outcome,spec,coef,se,t,p,n
hicp_yoy,iid,0.348348654442617,0.245312331888776,1.42002096576441,0.156985679742193,456
hicp_yoy,hc,0.348348654442617,0.311102281450098,1.1197238825087,0.264025301067714,456
hicp_yoy,cl_time,0.348348654442617,0.310754915762403,1.12097552371129,0.263482765733417,456
hicp_yoy,cl_2way,0.348348654442617,0.309730254135286,1.12468397837062,0.462683694622736,456
unemp_rate,iid,1.7305116206634,0.251490160764878,6.88103111231172,5.26065855167966e-11,480
unemp_rate,hc,1.7305116206634,0.304759576822719,5.67828462916542,3.96349312859213e-08,480
unemp_rate,cl_time,1.7305116206634,0.304436601201213,5.68430869953001,3.8108873883995e-08,480
unemp_rate,cl_2way,1.7305116206634,0.303483078739095,5.70216839717489,0.110521314358684,480
hicp,iid,2.05295640533813,0.415973206382326,4.93530923107398,1.50873659518167e-06,480
hicp,hc,2.05295640533813,0.269702518777679,7.61192893059492,6.37269359905406e-13,480
hicp,cl_time,2.05295640533813,0.269416695639545,7.62000439677578,5.9226964653647e-13,480
hicp,cl_2way,2.05295640533813,0.26857285863063,7.64394591398969,0.0828138776933402,480
imports_world_meur,iid,2746.20874467949,272.425034203833,10.0806034684196,4.05779035905381e-20,480
imports_world_meur,hc,2746.20874467949,186.895486477216,14.6938205755668,3.49509872192457e-35,480
imports_world_meur,cl_time,2746.20874467949,186.69741990116,14.709409193407,2.60782969990819e-35,480
imports_world_meur,cl_2way,2746.20874467949,186.112667007478,14.755625121256,0.0430783382963042,480
exports_world_meur,iid,3597.44032435816,299.046411438088,12.0297057137666,2.4747678052489e-26,480
exports_world_meur,hc,3597.44032435816,216.523015679712,16.6145862741891,1.26316123294976e-41,480
exports_world_meur,cl_time,3597.44032435816,216.293550682127,16.6322126249852,8.71063363288645e-42,480
exports_world_meur,cl_2way,3597.44032435816,215.616100079365,16.6844698658124,0.0381108361310142,480
mro,iid,,,,,0
mro,hc,,,,,0
mro,cl_time,,,,,0
mro,cl_2way,,,,,0
log_imp,iid,-0.0665685291422028,0.0101976908182501,-6.52780421848735,4.01616599322488e-10,480
log_imp,hc,-0.0665685291422028,0.012257012033791,-5.43105684800518,1.386054488149e-07,480
log_imp,cl_time,-0.0665685291422028,0.0122440223974335,-5.43681863536583,1.33734886655208e-07,480
log_imp,cl_2way,-0.0665685291422028,0.0122056730322896,-5.45390073665735,0.115445101782198,480
log_exp,iid,-0.0626795796264412,0.0105200001175731,-5.95813487889017,9.16554970366702e-09,480
log_exp,hc,-0.0626795796264412,0.0121549052233588,-5.15673125167492,5.30293696767279e-07,480
log_exp,cl_time,-0.0626795796264412,0.012142023796925,-5.16220200806353,5.13533345823457e-07,480
log_exp,cl_2way,-0.0626795796264412,0.0121039939004531,-5.17842128325057,0.121442191826791,480
