outcome,bin,tau,beta,se,p
hicp_yoy,binpre12_7,-10,0.573000322135809,0.581491777502625,0.324429044368572
hicp_yoy,bint0,0,0.353492538083371,0.383131667822485,0.356194930145302
hicp_yoy,binpost1_6,3,1.80052655037783,0.710767890051906,0.0113022209908689
hicp_yoy,binpost7_12,9,1.24144408242667,0.99306000750901,0.211255749472684
hicp_yoy,binpost13_18,15,-1.0278402987829,1.51138089106017,0.496462025712755
unemp_rate,binpre12_7,-10,-0.114689463088526,0.195470707455689,0.557381843370572
unemp_rate,bint0,0,0.691047374550865,0.172787329113623,6.3500585746332e-05
unemp_rate,binpost1_6,3,0.633952085176428,0.26843971379419,0.0181953756936501
unemp_rate,binpost7_12,9,0.59865493486822,0.287270358597584,0.0371653897561934
unemp_rate,binpost13_18,15,0.680227417035688,0.319366046403102,0.0331773686752939
hicp,binpre12_7,-10,0.738598264830669,0.705425783729136,0.295088156799916
hicp,bint0,0,0.682080334926253,1.22598192342463,0.577968662377971
hicp,binpost1_6,3,1.44373081316689,1.08990807271772,0.185292109551252
hicp,binpost7_12,9,-0.69958873602334,1.71918189832421,0.68405852715828
hicp,binpost13_18,15,-2.49418570898255,2.46514453641107,0.31164291133995
imports_world_meur,binpre12_7,-10,90.5843458649517,260.41311532482,0.727953864729788
imports_world_meur,bint0,0,1125.93318100735,422.148365957959,0.00764974312111075
imports_world_meur,binpost1_6,3,1593.0887258114,516.329237704496,0.00203269968450095
imports_world_meur,binpost7_12,9,1897.74978110348,590.820552270007,0.00131787844061263
imports_world_meur,binpost13_18,15,2214.24747782217,926.31642745907,0.0168309871177768
exports_world_meur,binpre12_7,-10,645.027037330846,328.130057393343,0.0493256022444074
exports_world_meur,bint0,0,380.355727991915,418.098994932283,0.362966774328782
exports_world_meur,binpost1_6,3,522.117444962747,500.873619565595,0.297219989701918
exports_world_meur,binpost7_12,9,1082.48598780884,485.130607805139,0.0256593449169155
exports_world_meur,binpost13_18,15,546.822152036985,602.400070119093,0.364016032920908
log_imp,binpre12_7,-10,-0.0455822380224209,0.0301931178248695,0.131122628898323
log_imp,bint0,0,0.081695076521931,0.0434541874234972,0.0601043013468261
log_imp,binpost1_6,3,0.100315133311088,0.0422916955794108,0.0176929609622089
log_imp,binpost7_12,9,0.112026174535678,0.0429449349505151,0.00909133374579138
log_imp,binpost13_18,15,0.147922305768961,0.0596479317189051,0.0131410584339322
log_exp,binpre12_7,-10,-0.0166823398526723,0.0321985887655073,0.604383061355368
log_exp,bint0,0,0.0622766214867539,0.0281486777525871,0.026937844975544
log_exp,binpost1_6,3,0.0685475603915752,0.0310036834444499,0.0270393745594037
log_exp,binpost7_12,9,0.0908139418180298,0.0348223450939774,0.00910938469688321
log_exp,binpost13_18,15,0.0647336015938763,0.0410932723364816,0.115190752891494
