outcome,n,r2,r2_within,rmse,aic,bic,se_type
hicp_yoy,456,0.965061630451918,,0.693458278237636,1424.22138988175,2380.63972168909,vcovCL by date
unemp_rate,480,0.966405897645401,,0.775421276593292,1606.00612984577,2624.40993919785,vcovCL by date
ln_imp,480,0.996314662231507,,0.0314426075697812,-1471.02672993806,-452.622920585989,vcovCL by date
ln_exp,480,0.996673484432002,,0.0324363859648437,-1441.1544923125,-422.75068296043,vcovCL by date
hicp,480,0.992773865986481,,1.28257293939682,2089.09443437532,3107.49824372739,vcovCL by date
imports_world_meur,480,0.954926090852554,,839.969910376742,8314.21241928356,9332.61622863563,vcovCL by date
exports_world_meur,480,0.956838824163253,,922.051778935239,8403.71831796815,9422.12212732022,vcovCL by date
repo,240,1,,0,-Inf,-Inf,vcovCL by date
mro,240,1,,0,-Inf,-Inf,vcovCL by date
fx_eur,300,0.991221870581605,,0.419298910366732,815.860385819875,1715.87952716133,vcovCL by date
fx_vol,480,0.724836368103605,,0.00105951038851656,-4727.76944830747,-3713.5394250593,vcovCL by date
