country,treat_date,date,exports_world_meur,df,hicp,imports_world_meur,fx_eur,mro,unemp_rate,repo,fx_vol,hicp_yoy,log_imp,log_exp,time_id,treated,post,D,rel
CZ,2009-01-01,2004-01-01,3655.2,,79.6,3687.4,32.7242381,,8.3,6.93,0.00238395803,,8.21267688163629,8.20390609024906,1,1,0,0,-60
SK,,2004-01-01,1681.5,6,78.52,1722.8,40.73080952,6,18.7,,0.002591982172,,7.45170615317996,7.42744153118032,1,0,0,0,
CZ,2009-01-01,2004-02-01,4046.5,,79.7,3936,32.8574,,8.7,7,0.003778341871,,8.27792025817214,8.30560758893576,2,1,0,0,-59
SK,,2004-02-01,1725,6,79.04,1759.8,40.55075,6,19,,0.002014451895,,7.47295544521146,7.45298232946546,2,0,0,0,
CZ,2009-01-01,2004-03-01,4020.3,,79.8,4077.4,32.98547826,,8.3,7,0.004165249467,,8.31321480936304,8.29911180569429,3,1,0,0,-58
SK,,2004-03-01,1700.6,5.5,79.22,1767,40.40026087,5.5,19,,0.001443504203,,7.4770384723197,7.43873640895169,3,0,0,0,
CZ,2009-01-01,2004-04-01,4787,,79.9,4812.9,32.51935,,8.3,7,0.00465368822,,8.47905509202514,8.47365918939251,4,1,0,0,-57
SK,,2004-04-01,1981.9,5,79.22,2057.9,40.15105,5,19.1,,0.002284313493,,7.6294413243485,7.5918112595303,4,0,0,0,
CZ,2009-01-01,2004-05-01,4779.7,,80.3,4879.2,31.97609524,,8.6,7,0.00307223613,,8.49273655098225,8.47213306200964,5,1,0,0,-56
SK,,2004-05-01,1932.7,5,79.49,1963.2,40.16366667,5,18.8,,0.001949494397,,7.58233107395665,7.56667326799142,5,0,0,0,
