outcome,coef,se,t,p_naive,p_wcb,n,spec
hicp_yoy,0.348348654442617,0.311102281450098,1.1197238825087,0.264025301067714,,456,twfe
hicp_yoy__placebo,2.45821887600387,0.190646828729091,12.8940979107342,7.53536749995654e-29,,456,twfe
unemp_rate,1.7305116206634,0.304759576822719,5.67828462916542,3.96349312859213e-08,,480,twfe
unemp_rate__placebo,2.86827336992884,0.297157340966244,9.65237258013649,8.35358115966722e-19,,480,twfe
hicp,2.05295640533813,0.269702518777679,7.61192893059492,6.37269359905406e-13,,480,twfe
hicp__placebo,1.81424612270071,0.298181847041194,6.08436140799029,4.66036652744379e-09,,480,twfe
imports_world_meur,2746.20874467949,186.895486477216,14.6938205755668,3.49509872192457e-35,,480,twfe
imports_world_meur__placebo,2742.78394542201,186.204840888032,14.7299282464482,2.64441930017949e-35,,480,twfe
exports_world_meur,3597.44032435816,216.523015679712,16.6145862741891,1.26316123294976e-41,,480,twfe
exports_world_meur__placebo,3574.13533322823,221.274829871459,16.1524712743175,4.4555554434758e-40,,480,twfe
log_imp,-0.0665685291422028,0.012257012033791,-5.43105684800518,1.386054488149e-07,,480,twfe
log_imp__placebo,-0.122421516630369,0.0120752132192881,-10.1382488579847,2.69011519526031e-20,,480,twfe
log_exp,-0.0626795796264412,0.0121549052233588,-5.15673125167492,5.30293696767279e-07,,480,twfe
log_exp__placebo,-0.124872696420988,0.0109955211779819,-11.3566873638551,3.76774155308155e-24,,480,twfe
